recording_id,speed_mph,condition,model,n_windows,mean_error_mph,mean_absolute_error_mph,median_absolute_error_mph,rmse_mph,max_absolute_error_mph
s1_day4_20260619_5mph_120spm_decreased,5.0,cadence_decreased,Linear Regression,9,-3.1997450057477184,3.1997450057477184,3.117967509992563,3.210674362638622,3.678931537748274
s1_day4_20260619_5mph_120spm_decreased,5.0,cadence_decreased,Ridge Regression,9,-2.5723354686520463,2.5723354686520463,2.495265656957442,2.587552726783555,3.137371799911093
s1_day4_20260619_6mph_135spm_decreased,6.0,cadence_decreased,Linear Regression,11,-2.4485149763010785,2.4485149763010785,2.376382331448956,2.46427558831123,3.062423111960716
s1_day4_20260619_7mph_182spm_elevated,7.0,cadence_elevated,Ridge Regression,18,2.332367573919253,2.332367573919253,2.2996343631197806,2.351307123238699,3.3635715187125435
s1_day4_20260619_5mph_160spm_elevated,5.0,cadence_elevated,Ridge Regression,16,2.3323079159228435,2.3323079159228435,2.479959642793416,2.3661537003113446,2.888708592110093
s1_day4_20260619_5mph_160spm_elevated,5.0,cadence_elevated,Lasso Regression,16,2.0682278490439416,2.0682278490439416,2.2064660441657695,2.102547653138885,2.9475616760379184
s1_day4_20260619_7mph_182spm_elevated,7.0,cadence_elevated,Linear Regression,18,1.9987651252557406,1.9987651252557406,1.9815534168858857,2.020862957208702,2.7655422495311015
s1_day4_20260619_6mph_135spm_decreased,6.0,cadence_decreased,Ridge Regression,11,-1.7717716522891604,1.7717716522891604,1.804766503814478,1.7825872989288127,2.099308233398858
s1_day4_20260619_5mph_160spm_elevated,5.0,cadence_elevated,Linear Regression,16,1.751513297098602,1.751513297098602,1.8174692910710792,1.7687034425293262,2.099067076123453
s1_day4_20260619_6mph_163spm_elevated,6.0,cadence_elevated,Ridge Regression,18,1.58817787351536,1.58817787351536,1.632140029780464,1.607932161420258,1.893273574831066
s1_day4_20260619_6mph_163spm_elevated,6.0,cadence_elevated,Lasso Regression,18,1.3007128110237438,1.3007128110237438,1.3543999844726082,1.31886312079125,1.6228058814255428
s1_day4_20260619_6mph_163spm_elevated,6.0,cadence_elevated,Linear Regression,18,1.2683775892762494,1.2683775892762494,1.31129267967866,1.2795459238598266,1.603167929360006
s1_day4_20260619_6mph_163spm_elevated,6.0,cadence_elevated,Random Forest,18,1.0875958370264018,1.263758880504663,1.1731282711949818,1.2985651130897804,1.792094095326565
s1_day4_20260619_7mph_144spm_decreased,7.0,cadence_decreased,Random Forest,16,-1.2607128970270018,1.2607128970270018,1.3623410364145658,1.2786912412499027,1.4974999999999996
s1_day4_20260619_7mph_144spm_decreased,7.0,cadence_decreased,Linear Regression,16,-1.124118344314394,1.124118344314394,0.99949721429756,1.1798212852570023,1.8791474324669837
s1_day4_20260619_7mph_182spm_elevated,7.0,cadence_elevated,Lasso Regression,18,1.0712928059901414,1.0712928059901414,1.0198261899821048,1.1040327278999045,1.8430480265488107
s1_day4_20260619_7mph_144spm_decreased,7.0,cadence_decreased,Ridge Regression,16,-1.0684972998684261,1.0684972998684261,1.0182657440564018,1.1059847776284355,1.6585900320729587
s1_day4_20260619_7mph_144spm_decreased,7.0,cadence_decreased,Lasso Regression,16,-0.9182223355226274,0.9182223355226274,0.8638186908015291,0.9308945271982076,1.227765701907436
s1_day4_20260619_5mph_140spm_normal,5.0,cadence_normal,Lasso Regression,14,0.8207206988057258,0.8207206988057258,0.79324917118036,0.8379998065327492,1.1394797007510045
