evaluation,fold,held_out_speed_mph,feature_set,model,feature,is_v3_feature,baseline_mae,n_train_windows,n_test_windows,mae_increase_mean,mae_increase_std
loso,fold_2,6.0,v2,Random Forest,Accel_Mag_P95_P05,False,0.3855468674211231,388.0,44,0.018136119985024332,0.018477608347640746
loso,fold_2,6.0,v2,Random Forest,Gyro_RMS_Y,False,0.3855468674211231,388.0,44,0.0038511305410080373,0.0022666470473415037
loso,fold_2,6.0,v2,Random Forest,Accel_HighFreq_Energy_Ratio,False,0.3855468674211231,388.0,44,0.003811131954204135,0.0014028627062003037
loso,fold_2,6.0,v2,Random Forest,PeakToPeak_Z,False,0.3855468674211231,388.0,44,0.002601154342588959,0.0024884116047290757
loso,fold_2,6.0,v2,Random Forest,GyroY_PeakToPeak,False,0.3855468674211231,388.0,44,0.00017988002245638752,0.0008662330003268788
loso,fold_2,6.0,v2,Random Forest,Accel_Mag_Jerk_RMS,False,0.3855468674211231,388.0,44,-0.0009584694474802479,0.0016845524946739491
loso,fold_2,6.0,v2,Random Forest,Gyro_RMS_Z,False,0.3855468674211231,388.0,44,-0.0030497291540163046,0.0030556744478149995
loso,fold_2,6.0,v2,Random Forest,Accel_Anisotropy,False,0.3855468674211231,388.0,44,-0.007018146193518689,0.0028162263488269424
loso,fold_2,6.0,v2,Random Forest,Gyro_Mag_RMS,False,0.3855468674211231,388.0,44,-0.013386258901001258,0.005615781450725012
loso,fold_2,6.0,v2,Random Forest,RMS_Z,False,0.3855468674211231,388.0,44,-0.02486394148488994,0.00905083866288025
loso,fold_2,6.0,v2,Random Forest,Gyro_RMS_X,False,0.3855468674211231,388.0,44,-0.030786541243174585,0.005910102583338122
loso,fold_2,6.0,v3_full,Random Forest,Impact_Duty_Proxy,True,0.739304451352887,388.0,44,0.0083879851164753,0.0017241302353590952
loso,fold_2,6.0,v3_full,Random Forest,Gyro_RMS_Z,False,0.739304451352887,388.0,44,0.002268623364693312,0.007821580276094434
loso,fold_2,6.0,v3_full,Random Forest,Gyro_RMS_Y,False,0.739304451352887,388.0,44,0.002033102397445067,0.0021241785809193304
loso,fold_2,6.0,v3_full,Random Forest,Cadence_spm,False,0.739304451352887,388.0,44,0.0011685743433297313,0.0008301114367726481
loso,fold_2,6.0,v3_full,Random Forest,Accel_Mag_P95_P05,False,0.739304451352887,388.0,44,0.0011394081087922798,0.0038241172940932816
loso,fold_2,6.0,v3_full,Random Forest,PeakToPeak_Z,False,0.739304451352887,388.0,44,0.0004184674922968738,0.00023142941419266474
loso,fold_2,6.0,v3_full,Random Forest,Gyro_Mag_RMS,False,0.739304451352887,388.0,44,0.0001969133375309277,0.0013338980479155457
loso,fold_2,6.0,v3_full,Random Forest,Gyro_RMS_X,False,0.739304451352887,388.0,44,3.160919540220094e-05,0.00010544369176673776
loso,fold_2,6.0,v3_full,Random Forest,Accel_Anisotropy,False,0.739304451352887,388.0,44,1.4817805589339983e-05,0.0011832801598454644
loso,fold_2,6.0,v3_full,Random Forest,Accel_HighFreq_Energy_Ratio,False,0.739304451352887,388.0,44,-4.4114372280401606e-05,0.00142035047235495
loso,fold_2,6.0,v3_full,Random Forest,GyroY_PeakToPeak,False,0.739304451352887,388.0,44,-6.077212743279178e-05,0.00016979214953958134
loso,fold_2,6.0,v3_full,Random Forest,RMS_Z,False,0.739304451352887,388.0,44,-0.00048192904247206235,0.001015723935306798
loso,fold_2,6.0,v3_full,Random Forest,Impact_Interval_CV,True,0.739304451352887,388.0,44,-0.0008034313031878589,0.0004593700528135491
loso,fold_2,6.0,v3_full,Random Forest,Impact_Peak_Count,True,0.739304451352887,388.0,44,-0.0008901515151516086,0.0005419778190867614
loso,fold_2,6.0,v3_full,Random Forest,Mean_Impact_Prominence,True,0.739304451352887,388.0,44,-0.0010778231572350805,0.0004481620298574084
loso,fold_2,6.0,v3_full,Random Forest,Mean_Impact_Width_s,True,0.739304451352887,388.0,44,-0.001421284030314777,0.0007718381287615193
loso,fold_2,6.0,v3_full,Random Forest,Accel_Mag_Jerk_RMS,False,0.739304451352887,388.0,44,-0.0021335662480902904,0.004531957228764049
loso,fold_2,6.0,v3_full,Random Forest,Accel_Mag_RMS,False,0.739304451352887,388.0,44,-0.0075961060936098335,0.0026509395140683423
loso,fold_2,6.0,v3_full,Random Forest,Vertical_Peak_Sharpness,True,0.739304451352887,388.0,44,-0.028172963352854914,0.026972749469762816
loso,fold_2,6.0,v3_full,Random Forest,Dynamic_Accel_Mag_RMS,False,0.739304451352887,388.0,44,-0.04813961819250012,0.02045475150977212
loso,fold_2,6.0,v3_full,Random Forest,Mean_Impact_Interval_s,True,0.739304451352887,388.0,44,-0.04843059105943777,0.036457095126856895
loso,fold_3,5.0,v2,Random Forest,Cadence_spm,False,0.5252984174858468,393.0,39,0.08674563662176722,0.05603438248932761
loso,fold_3,5.0,v2,Random Forest,Accel_Anisotropy,False,0.5252984174858468,393.0,39,0.0049915728286576535,0.0014207773455283833
loso,fold_3,5.0,v2,Random Forest,Accel_HighFreq_Energy_Ratio,False,0.5252984174858468,393.0,39,0.0006385052590973587,0.002356994852890453
loso,fold_3,5.0,v2,Random Forest,Gyro_Mag_RMS,False,0.5252984174858468,393.0,39,0.0006156996720249941,0.00039523590509549033
loso,fold_3,5.0,v2,Random Forest,Gyro_RMS_Y,False,0.5252984174858468,393.0,39,0.0001988699913456034,0.0006086559799176224
loso,fold_3,5.0,v2,Random Forest,GyroY_PeakToPeak,False,0.5252984174858468,393.0,39,0.00014212329511381999,0.0003333585138608457
loso,fold_3,5.0,v2,Random Forest,Gyro_RMS_X,False,0.5252984174858468,393.0,39,-0.000619798784322619,0.001107001654457175
loso,fold_3,5.0,v2,Random Forest,Gyro_RMS_Z,False,0.5252984174858468,393.0,39,-0.000997431354653681,0.0003114305817165206
loso,fold_3,5.0,v2,Random Forest,PeakToPeak_Z,False,0.5252984174858468,393.0,39,-0.0019094325216172084,0.00051459710653064
loso,fold_3,5.0,v2,Random Forest,Accel_Mag_P95_P05,False,0.5252984174858468,393.0,39,-0.016955028466426804,0.005301007274856771
loso,fold_3,5.0,v2,Random Forest,Dynamic_Accel_Mag_RMS,False,0.5252984174858468,393.0,39,-0.020533179238906744,0.006083171421173935
loso,fold_3,5.0,v2,Random Forest,RMS_Z,False,0.5252984174858468,393.0,39,-0.024684566273225083,0.021377114835445764
loso,fold_3,5.0,v2,Random Forest,Accel_Mag_Jerk_RMS,False,0.5252984174858468,393.0,39,-0.060244679240199245,0.020349697541441614
loso,fold_3,5.0,v2,Random Forest,Accel_Mag_RMS,False,0.5252984174858468,393.0,39,-0.07190793381214859,0.025911777348746005
loso,fold_3,5.0,v3_full,Random Forest,Mean_Impact_Interval_s,True,0.5000503820690971,393.0,39,0.010491475286158007,0.01541211422209213
loso,fold_3,5.0,v3_full,Random Forest,Mean_Impact_Width_s,True,0.5000503820690971,393.0,39,0.00973373304965425,0.003344133074076197
loso,fold_3,5.0,v3_full,Random Forest,Accel_Anisotropy,False,0.5000503820690971,393.0,39,0.005794594987667204,0.0011827366761173895
loso,fold_3,5.0,v3_full,Random Forest,Impact_Interval_CV,True,0.5000503820690971,393.0,39,0.0020421663901022844,0.00041023455763418534
loso,fold_3,5.0,v3_full,Random Forest,Impact_Duty_Proxy,True,0.5000503820690971,393.0,39,0.0016552043196642126,0.0011655973217391837
loso,fold_3,5.0,v3_full,Random Forest,Impact_Peak_Count,True,0.5000503820690971,393.0,39,-8.974358974362199e-05,0.0001716864053555956
loso,fold_3,5.0,v3_full,Random Forest,Gyro_RMS_Z,False,0.5000503820690971,393.0,39,-0.00022935122109334348,0.00022296965310380297
loso,fold_3,5.0,v3_full,Random Forest,GyroY_PeakToPeak,False,0.5000503820690971,393.0,39,-0.0005248041310542018,0.00019037192641382095
loso,fold_3,5.0,v3_full,Random Forest,PeakToPeak_Z,False,0.5000503820690971,393.0,39,-0.0006232741617357874,0.0001338922950399796
loso,fold_3,5.0,v3_full,Random Forest,Gyro_Mag_RMS,False,0.5000503820690971,393.0,39,-0.0015702169472265623,0.000456268417696241
loso,fold_3,5.0,v3_full,Random Forest,Gyro_RMS_X,False,0.5000503820690971,393.0,39,-0.0023364586835175763,0.0006996567171040204
loso,fold_3,5.0,v3_full,Random Forest,Gyro_RMS_Y,False,0.5000503820690971,393.0,39,-0.0036984267838287973,0.0012602718407564656
loso,fold_3,5.0,v3_full,Random Forest,Cadence_spm,False,0.5000503820690971,393.0,39,-0.004948601925977532,0.0011805236104358114
loso,fold_3,5.0,v3_full,Random Forest,Mean_Impact_Prominence,True,0.5000503820690971,393.0,39,-0.008004187261936028,0.0024126037384332145
loso,fold_3,5.0,v3_full,Random Forest,Accel_HighFreq_Energy_Ratio,False,0.5000503820690971,393.0,39,-0.008183726701605816,0.0039054356181574277
loso,fold_3,5.0,v3_full,Random Forest,Accel_Mag_P95_P05,False,0.5000503820690971,393.0,39,-0.008590218423551866,0.003135779748356453
loso,fold_3,5.0,v3_full,Random Forest,Accel_Mag_Jerk_RMS,False,0.5000503820690971,393.0,39,-0.01138164871869141,0.0037371016596477458
loso,fold_3,5.0,v3_full,Random Forest,Dynamic_Accel_Mag_RMS,False,0.5000503820690971,393.0,39,-0.015994934623692426,0.004059708217673427
loso,fold_3,5.0,v3_full,Random Forest,RMS_Z,False,0.5000503820690971,393.0,39,-0.022083713233391773,0.0064309310850651545
loso,fold_3,5.0,v3_full,Random Forest,Accel_Mag_RMS,False,0.5000503820690971,393.0,39,-0.0450243676790368,0.00874323524473848
loso,fold_3,5.0,v3_full,Random Forest,Vertical_Peak_Sharpness,True,0.5000503820690971,393.0,39,-0.07612678786523823,0.030301739117375773
loso,overall,all,v2,Random Forest,Cadence_spm,False,0.6202133211459961,,135,0.10002225042688737,0.035351979080991726
loso,overall,all,v2,Random Forest,Gyro_RMS_Y,False,0.6202133211459961,,135,0.0018899628585958394,0.0016336891560749182
loso,overall,all,v2,Random Forest,Gyro_RMS_Z,False,0.6202133211459961,,135,0.00044032003452816517,0.0023407970844527776
loso,overall,all,v2,Random Forest,GyroY_PeakToPeak,False,0.6202133211459961,,135,-1.2092960054270136e-05,0.000660760330742985
loso,overall,all,v2,Random Forest,PeakToPeak_Z,False,0.6202133211459961,,135,-0.0005151987959128382,0.0012271843207730193
loso,overall,all,v2,Random Forest,Accel_HighFreq_Energy_Ratio,False,0.6202133211459961,,135,-0.000889133701108878,0.00317832951633802
loso,overall,all,v2,Random Forest,Accel_Anisotropy,False,0.6202133211459961,,135,-0.002491886472710796,0.0023628827557499598
loso,overall,all,v2,Random Forest,Gyro_Mag_RMS,False,0.6202133211459961,,135,-0.004705851625535065,0.0034885914473022535
loso,overall,all,v2,Random Forest,Dynamic_Accel_Mag_RMS,False,0.6202133211459961,,135,-0.0064382094289008275,0.014385778390534254
loso,overall,all,v2,Random Forest,Gyro_RMS_X,False,0.6202133211459961,,135,-0.007157094489866226,0.003411695275856458
loso,overall,all,v2,Random Forest,RMS_Z,False,0.6202133211459961,,135,-0.01287883128737262,0.010678125010564778
loso,overall,all,v2,Random Forest,Accel_Mag_RMS,False,0.6202133211459961,,135,-0.014909349650918549,0.012649314647525408
loso,overall,all,v2,Random Forest,Accel_Mag_Jerk_RMS,False,0.6202133211459961,,135,-0.018945242069387764,0.006854522553654959
loso,overall,all,v2,Random Forest,Accel_Mag_P95_P05,False,0.6202133211459961,,135,-0.02322966178692492,0.01180782722934344
loso,overall,all,v3_full,Random Forest,Accel_HighFreq_Energy_Ratio,False,0.6215899006357812,,135,0.002379462730442391,0.00830302988213464
loso,overall,all,v3_full,Random Forest,Accel_Anisotropy,False,0.6215899006357812,,135,0.0022454876420718705,0.0017040190849144776
loso,overall,all,v3_full,Random Forest,Impact_Duty_Proxy,True,0.6215899006357812,,135,0.0011795410221711344,0.0023576717690577415
loso,overall,all,v3_full,Random Forest,Mean_Impact_Width_s,True,0.6215899006357812,,135,0.0011232942959933756,0.008491625227350696
loso,overall,all,v3_full,Random Forest,Gyro_RMS_Z,False,0.6215899006357812,,135,0.0007153526679058698,0.002959939786186229
loso,overall,all,v3_full,Random Forest,Impact_Interval_CV,True,0.6215899006357812,,135,0.000624199022770784,0.00036280296257541186
