feature_set,features,model,n_train_windows,n_test_windows,n_train_recordings,n_test_recordings,MAE,RMSE,R2
DEFAULT_FEATURES,Cadence_spm|RMS_Z|PeakToPeak_Z|Gyro_RMS_X|Gyro_RMS_Y|Gyro_RMS_Z|Accel_Mag_RMS,Linear Regression,297,198,14,13,0.8069868135642455,1.0074871806866987,0.6470727565258276
DEFAULT_FEATURES,Cadence_spm|RMS_Z|PeakToPeak_Z|Gyro_RMS_X|Gyro_RMS_Y|Gyro_RMS_Z|Accel_Mag_RMS,Ridge Regression,297,198,14,13,0.6887263536733648,0.8737764625212252,0.7345352813758941
DEFAULT_FEATURES,Cadence_spm|RMS_Z|PeakToPeak_Z|Gyro_RMS_X|Gyro_RMS_Y|Gyro_RMS_Z|Accel_Mag_RMS,Lasso Regression,297,198,14,13,0.7542537742020453,0.9407081092100028,0.6923082144978492
DEFAULT_FEATURES,Cadence_spm|RMS_Z|PeakToPeak_Z|Gyro_RMS_X|Gyro_RMS_Y|Gyro_RMS_Z|Accel_Mag_RMS,Random Forest,297,198,14,13,0.5713235633602518,0.8394454222096285,0.754985911950825
