evaluation,fold,held_out_speed_mph,feature_set,feature,is_new_v4_feature,is_sharpness_feature,baseline_mae,mae_increase_mean,mae_increase_std
loso,fold_2,6.0,v4_morphology_all,Gyro_Mag_RMS,False,False,0.623597363389406,0.001632873981034433,0.0026787415335420943
loso,fold_2,6.0,v4_morphology_all,Accel_Mag_Jerk_RMS,False,False,0.623597363389406,0.001186791594050113,0.0037112298867034888
loso,fold_2,6.0,v4_morphology_all,PeakToPeak_Z,False,False,0.623597363389406,0.001121400900765146,0.0006777603885541175
loso,fold_2,6.0,v4_morphology_all,Accel_HighFreq_Energy_Ratio,False,False,0.623597363389406,0.0010324125394837957,0.0010375980814094604
loso,fold_2,6.0,v4_morphology_all,Gyro_RMS_Y,False,False,0.623597363389406,9.606561444678862e-05,0.0012611365315839745
loso,fold_2,6.0,v4_morphology_all,Impact_Local_Kurtosis,True,False,0.623597363389406,5.192968354700289e-06,0.0006257197821937378
loso,fold_2,6.0,v4_morphology_all,GyroY_PeakToPeak,False,False,0.623597363389406,-0.0008172545543337351,0.0005997600776352923
loso,fold_2,6.0,v4_morphology_all,Gyro_RMS_X,False,False,0.623597363389406,-0.001136310340498614,0.0004201920428757665
loso,fold_2,6.0,v4_morphology_all,Accel_Anisotropy,False,False,0.623597363389406,-0.0012464394936764155,0.0020973994591395833
loso,fold_2,6.0,v4_morphology_all,Gyro_RMS_Z,False,False,0.623597363389406,-0.0017630162551216689,0.007857345862949307
loso,fold_2,6.0,v4_morphology_all,RMS_Z,False,False,0.623597363389406,-0.004578025204055864,0.004328956191256384
loso,fold_2,6.0,v4_morphology_all,Accel_Mag_P95_P05,False,False,0.623597363389406,-0.0060990576990782586,0.0013165686425712457
loso,fold_2,6.0,v4_morphology_all,Impact_Impulse,True,False,0.623597363389406,-0.013914495915253549,0.005724200441561499
loso,fold_2,6.0,v4_morphology_all,Accel_Mag_RMS,False,False,0.623597363389406,-0.018218125063901226,0.008962199161955118
loso,fold_2,6.0,v4_morphology_all,Dynamic_Accel_Mag_RMS,False,False,0.623597363389406,-0.03539992950286304,0.015501803924211998
loso,fold_2,6.0,v4_morphology_all,Cadence_spm,False,False,0.623597363389406,-0.052390769179296005,0.032976963501701144
loso,fold_3,5.0,v4_morphology_all,Impact_Impulse,True,False,0.503906985430685,0.037868699632418075,0.011453155609299858
loso,fold_3,5.0,v4_morphology_all,Cadence_spm,False,False,0.503906985430685,0.00773204175573452,0.020659398853884337
loso,fold_3,5.0,v4_morphology_all,Accel_Anisotropy,False,False,0.503906985430685,0.00634305018282309,0.0016245280170833869
loso,fold_3,5.0,v4_morphology_all,Gyro_Mag_RMS,False,False,0.503906985430685,0.0009159773619248967,0.0005030125288956374
loso,fold_3,5.0,v4_morphology_all,Impact_Crest_Factor,True,False,0.503906985430685,0.0005716352451688611,0.0001853709365129456
loso,fold_3,5.0,v4_morphology_all,GyroY_PeakToPeak,False,False,0.503906985430685,-0.00040227095701211304,0.00037193146507343797
loso,fold_3,5.0,v4_morphology_all,PeakToPeak_Z,False,False,0.503906985430685,-0.0007750478314992703,0.00024394225033555627
loso,fold_3,5.0,v4_morphology_all,Gyro_RMS_Z,False,False,0.503906985430685,-0.0007808751777971468,0.00019907005858237938
loso,fold_3,5.0,v4_morphology_all,Gyro_RMS_X,False,False,0.503906985430685,-0.0011715631016407158,0.0006609992494659713
loso,fold_3,5.0,v4_morphology_all,Peak_Symmetry,True,False,0.503906985430685,-0.0014743187480534326,0.000559477459489004
loso,fold_3,5.0,v4_morphology_all,Impact_Local_Kurtosis,True,False,0.503906985430685,-0.0022909544159542606,0.0005217134368865949
loso,fold_3,5.0,v4_morphology_all,Accel_HighFreq_Energy_Ratio,False,False,0.503906985430685,-0.005231819227792237,0.002484345242532821
loso,fold_3,5.0,v4_morphology_all,Dynamic_Accel_Mag_RMS,False,False,0.503906985430685,-0.005840558585874581,0.0027468989443732387
